date,flow_usd
2025-07-02,0.0
2025-07-03,224.5
2025-07-07,164.6
2025-07-08,66.8
2025-07-09,125.6
2025-07-10,448.5
2025-07-11,953.5
2025-07-14,394.7
2025-07-15,416.3
2025-07-16,763.9
2025-07-17,497.3
2025-07-18,496.8
2025-07-21,0.0
2025-07-22,0.0
2025-07-23,142.6
2025-07-24,32.5
2025-07-25,92.8
2025-07-28,147.4
2025-07-29,157.6
2025-07-30,34.4
2025-07-31,18.6
2025-08-01,-2.6
2025-08-04,-292.2
2025-08-05,-77.4
2025-08-06,41.9
2025-08-07,156.6
2025-08-08,360.0
2025-08-11,138.2
2025-08-12,111.4
2025-08-13,0.0
2025-08-14,523.7
2025-08-15,114.4
2025-08-18,-68.7
2025-08-19,0.0
2025-08-20,-220.0
2025-08-21,-127.5
2025-08-22,-198.8
2025-08-25,63.4
2025-08-26,45.3
2025-08-27,50.9
2025-08-28,63.7
2025-08-29,24.6
2025-09-02,72.9
2025-09-03,289.8
2025-09-04,134.8
2025-09-05,-63.2
2025-09-08,25.5
2025-09-09,169.3
2025-09-10,211.2
2025-09-11,366.2
2025-09-12,264.7
2025-09-15,261.8
2025-09-16,209.2
2025-09-17,149.7
2025-09-18,0.0
2025-09-19,246.1
2025-09-22,0.0
2025-09-23,2.5
2025-09-24,128.9
2025-09-25,79.7
2025-09-26,-37.3
2025-09-29,-46.6
2025-09-30,199.4
2025-10-01,405.5
2025-10-02,466.5
2025-10-03,791.6
2025-10-06,970.0
2025-10-07,899.4
2025-10-08,426.2
2025-10-09,255.5
2025-10-10,74.2
2025-10-13,60.4
2025-10-14,-30.8
2025-10-15,-10.1
2025-10-16,-29.5
2025-10-17,-268.6
2025-10-20,-100.7
2025-10-21,210.9
2025-10-22,73.6
2025-10-23,107.8
2025-10-24,32.7
2025-10-27,65.3
2025-10-28,59.6
2025-10-29,-88.1
2025-10-30,-290.9
2025-10-31,-149.3
2025-11-03,-186.5
2025-11-04,0.0
2025-11-05,-375.5
2025-11-06,112.4
2025-11-07,-131.4
2025-11-10,0.0
2025-11-11,224.2
2025-11-12,-36.9
2025-11-13,-256.6
2025-11-14,-463.1
2025-11-17,-145.6
2025-11-18,-523.2
2025-11-19,60.6
2025-11-20,-355.5
2025-11-21,-122.0
2025-11-24,-149.1
2025-11-25,83.0
2025-11-26,42.8
2025-11-28,-113.7
2025-12-01,-65.9
2025-12-02,120.1
2025-12-03,42.2
2025-12-04,-113.0
2025-12-05,-32.5
2025-12-08,28.8
2025-12-09,-135.4
2025-12-10,192.9
2025-12-11,76.7
2025-12-12,51.1
2025-12-15,0.0
2025-12-16,-210.7
2025-12-17,111.2
2025-12-18,32.8
2025-12-19,-173.6
2025-12-22,6.0
2025-12-23,-157.3
2025-12-24,-91.4
2025-12-26,-192.6
2025-12-29,-7.9
2025-12-30,143.7
2025-12-31,-99.0
2026-01-02,287.4
2026-01-05,372.5
2026-01-06,228.7
2026-01-07,-130.0
2026-01-08,-193.3
2026-01-09,-252.0
2026-01-12,-70.7
2026-01-13,126.3
2026-01-14,648.4
2026-01-15,315.8
2026-01-16,15.1
2026-01-20,-56.9
2026-01-21,-356.6
2026-01-22,-22.4
2026-01-23,-101.6
2026-01-26,15.9
2026-01-27,-102.8
2026-01-28,-14.2
2026-01-29,-317.8
2026-01-30,-528.3
2026-02-02,142.0
2026-02-03,60.0
2026-02-04,-373.4
2026-02-05,-175.3
2026-02-06,231.6
2026-02-09,-20.9
2026-02-10,26.5
2026-02-11,-73.4
